file,n_jobs,n_machines,seed,num_nodes,node_x_cols,node_x_col0_min,node_x_col0_max,node_x_col0_mean,node_x_col0_median,node_x_col0_std,node_x_col0_range,node_x_col0_q1,node_x_col0_q3,node_x_col0_gini,node_x_col1_min,node_x_col1_max,node_x_col1_mean,node_x_col1_median,node_x_col1_std,node_x_col1_range,node_x_col1_q1,node_x_col1_q3,node_x_col1_gini,node_x_overall_mean,node_x_overall_std,num_conjunctive_edges,num_disjunctive_edges,num_nodes_total,num_edges_total,disj_graph_density,deg_d_min,deg_d_max,deg_d_mean,deg_d_median,deg_d_std,deg_d_range,deg_d_q1,deg_d_q3,deg_d_gini,clustering_d_min,clustering_d_max,clustering_d_mean,clustering_d_median,clustering_d_std,clustering_d_range,clustering_d_q1,clustering_d_q3,clustering_d_gini,conj_graph_density,deg_c_min,deg_c_max,deg_c_mean,deg_c_median,deg_c_std,deg_c_range,deg_c_q1,deg_c_q3,deg_c_gini,betweenness_c_min,betweenness_c_max,betweenness_c_mean,betweenness_c_median,betweenness_c_std,betweenness_c_range,betweenness_c_q1,betweenness_c_q3,betweenness_c_gini,graph_density,deg_min,deg_max,deg_mean,deg_median,deg_std,deg_range,deg_q1,deg_q3,deg_gini,clustering_min,clustering_max,clustering_mean,clustering_median,clustering_std,clustering_range,clustering_q1,clustering_q3,clustering_gini,betweenness_min,betweenness_max,betweenness_mean,betweenness_median,betweenness_std,betweenness_range,betweenness_q1,betweenness_q3,betweenness_gini,speed,rddd,makespan_min,makespan_range,energy_sum_min,energy_sum_range,operation_cost_mean,operation_cost_std,makespan_lb_job_sum,makespan_lb_machine_sum,makespan_lb_meanload,energy_min_mean,energy_avg_mean,energy_max_mean,num_op_nodes
abz5.pt,10,10,0,102,2,0.0,99.0,76.20588235294117,78.5,17.829991386674987,99.0,66.0,91.5,0.12351831250961731,-1.0,9.0,4.392156862745098,4.0,2.9444426309178833,10.0,2.0,7.0,0.3790849673202614,40.29901885986328,38.112884521484375,110,900,102,1010,0.08736167734420501,0.0,9.0,8.823529411764707,9.0,1.2478354962115543,9.0,9.0,9.0,0.019607843137254832,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.021355076684139003,2.0,10.0,2.156862745098039,2.0,1.1091871077436042,8.0,2.0,2.0,0.071301247771836,0.04229702970297031,0.07398019801980199,0.054970297029702984,0.05180198019801981,0.011511066692806306,0.031683168316831684,0.04546534653465347,0.06130693069306931,0.11527377521613791,0.108716754028344,10.0,11.0,10.980392156862745,11.0,0.1386483884679505,1.0,11.0,11.0,0.0017507002801120386,0.6545454545454545,0.7090909090909091,0.6581818181818181,0.6545454545454545,0.011499191491521382,0.054545454545454564,0.6545454545454545,0.6545454545454545,0.005038674033149393,0.005311833362130632,0.0258032951000336,0.01417709735022544,0.013411113871760472,0.004369407119857217,0.020491461737902967,0.011084369855437367,0.01705949431995315,0.17141124397129381,1,0,859,6914,7773,0,77.7300033569336,14.345629692077637,859.0,868.0,777.3,77.73,77.73,77.73,100
abz6.pt,10,10,0,102,2,0.0,98.0,58.294117647058826,59.0,24.362293363863415,98.0,38.0,80.0,0.23943596947692636,-1.0,9.0,4.392156862745098,4.0,2.9444426309178837,10.0,2.0,7.0,0.3790849673202614,31.343137741088867,32.05387496948242,110,900,102,1010,0.08736167734420501,0.0,9.0,8.823529411764707,9.0,1.2478354962115543,9.0,9.0,9.0,0.019607843137254832,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.021355076684139003,2.0,10.0,2.156862745098039,2.0,1.1091871077436042,8.0,2.0,2.0,0.071301247771836,0.04229702970297031,0.07398019801980199,0.054970297029702984,0.05180198019801981,0.011511066692806306,0.031683168316831684,0.04546534653465347,0.06130693069306931,0.11527377521613791,0.108716754028344,10.0,11.0,10.980392156862745,11.0,0.1386483884679505,1.0,11.0,11.0,0.0017507002801120386,0.6545454545454545,0.6727272727272727,0.6567272727272727,0.6545454545454545,0.005908391567007973,0.018181818181818188,0.6545454545454545,0.6545454545454545,0.002923588039867031,0.007541932215199541,0.02895912931629296,0.014014317851953263,0.013615115357689615,0.0034841853775384687,0.02141719710109342,0.011744188429831994,0.01605295267325699,0.13329769998645258,1,0,742,5204,5946,0,59.459999084472656,23.15315055847168,742.0,688.0,594.6,59.46,59.46,59.46,100
abz7.pt,20,15,0,302,2,0.0,40.0,24.39072847682119,24.0,8.353508609670435,40.0,18.0,31.0,0.19611226091600398,-1.0,14.0,6.947019867549669,7.0,4.354776747754595,15.0,3.0,11.0,0.35982339955849896,15.66887378692627,10.974668502807617,320,5700,302,6020,0.06270489098149655,0.0,19.0,18.874172185430464,19.0,1.541069705724516,19.0,19.0,19.0,0.0066225165562914245,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.007040549162834701,2.0,20.0,2.119205298013245,2.0,1.4599607738442781,18.0,2.0,2.0,0.0558774834437088,0.022016611295681065,0.0415514950166113,0.029458471760797345,0.02839534883720931,0.006611479320977486,0.01953488372093024,0.023611295681063127,0.03636877076411961,0.12462689372579994,0.06974544014433126,20.0,21.0,20.99337748344371,21.0,0.0811089318802377,1.0,21.0,21.0,0.00031336829130723665,0.8142857142857143,0.8333333333333334,0.8152380952380952,0.8142857142857143,0.003299144395369294,0.01904761904761909,0.8142857142857143,0.8142857142857143,0.0010843717549327003,0.001878887332632846,0.014387515830505106,0.005250642028671839,0.004987321135233973,0.0017652780605758968,0.01250862849787226,0.004101792400111596,0.005911115826162026,0.1797272721898706,1,0,410,6956,7366,0,24.553333282470703,8.139644622802734,410.0,556.0,491.06666666666666,24.553333333333335,24.553333333333335,24.553333333333335,300
abz8.pt,20,15,0,302,2,0.0,40.0,25.119205298013245,25.0,9.038129057050051,40.0,17.0,33.0,0.20669305430184237,-1.0,14.0,6.947019867549669,7.0,4.354776747754595,15.0,3.0,11.0,0.35982339955849896,16.033113479614258,11.52748966217041,320,5700,302,6020,0.06270489098149655,0.0,19.0,18.874172185430464,19.0,1.541069705724516,19.0,19.0,19.0,0.0066225165562914245,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.007040549162834701,2.0,20.0,2.119205298013245,2.0,1.4599607738442781,18.0,2.0,2.0,0.0558774834437088,0.022016611295681065,0.0415514950166113,0.029458471760797345,0.02839534883720931,0.006611479320977486,0.01953488372093024,0.023611295681063127,0.03636877076411961,0.12462689372579994,0.06974544014433126,20.0,21.0,20.99337748344371,21.0,0.0811089318802377,1.0,21.0,21.0,0.00031336829130723665,0.8142857142857143,0.8285714285714286,0.8151111111111111,0.8142857142857143,0.0028701643307417705,0.014285714285714346,0.8142857142857143,0.8142857142857143,0.0009423845874227954,0.0019696006795165773,0.012761500452214077,0.0052753954542414105,0.004788033085916561,0.001814314578289114,0.0107918997726975,0.004018972108209387,0.005954592176592116,0.1840517677120561,1,0,443,7143,7586,0,25.286666870117188,8.831637382507324,443.0,566.0,505.73333333333335,25.286666666666665,25.286666666666665,25.286666666666665,300
abz9.pt,20,15,0,302,2,0.0,40.0,24.642384105960264,25.0,8.993628628392589,40.0,17.0,32.0,0.20963263809664512,-1.0,14.0,6.947019867549669,7.0,4.354776747754595,15.0,3.0,11.0,0.35982339955849896,15.79470157623291,11.3228178024292,320,5700,302,6020,0.06270489098149655,0.0,19.0,18.874172185430464,19.0,1.541069705724516,19.0,19.0,19.0,0.0066225165562914245,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.007040549162834701,2.0,20.0,2.119205298013245,2.0,1.4599607738442781,18.0,2.0,2.0,0.0558774834437088,0.022016611295681065,0.0415514950166113,0.029458471760797345,0.02839534883720931,0.006611479320977486,0.01953488372093024,0.023611295681063127,0.03636877076411961,0.12462689372579994,0.06974544014433126,20.0,21.0,20.99337748344371,21.0,0.0811089318802377,1.0,21.0,21.0,0.00031336829130723665,0.8142857142857143,0.8285714285714286,0.815206349206349,0.8142857142857143,0.002760079674305795,0.014285714285714346,0.8142857142857143,0.8142857142857143,0.00102535145449556,0.002785339972325383,0.011394599234305716,0.005281151407364238,0.004838003095961168,0.0017952310328080664,0.008609259261980333,0.003971432741369215,0.006066158038631775,0.18216412165035778,1,0,467,6975,7442,0,24.80666732788086,8.794843673706055,467.0,563.0,496.1333333333333,24.80666666666667,24.80666666666667,24.80666666666667,300
ft06.pt,6,6,0,38,2,0.0,10.0,5.184210526315789,5.0,3.016230334268734,10.0,3.0,8.0,0.33141864814320066,-1.0,5.0,2.3157894736842106,2.0,1.8368345649068578,6.0,1.0,4.0,0.42105263157894735,3.75,2.87971568107605,42,180,38,222,0.12802275960170698,0.0,5.0,4.7368421052631575,5.0,1.1164843913471805,5.0,5.0,5.0,0.05263157894736836,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.059743954480796585,2.0,6.0,2.210526315789474,2.0,0.8931875130777441,4.0,2.0,2.0,0.09022556390977443,0.06556556556556557,0.1016016016016016,0.08158158158158157,0.07757757757757758,0.014981611158254015,0.03603603603603603,0.06556556556556557,0.10160160160160159,0.09815950920245431,0.18776671408250356,6.0,7.0,6.947368421052632,7.0,0.22329687826943606,1.0,7.0,7.0,0.0071770334928229484,0.47619047619047616,0.5714285714285714,0.49735449735449716,0.47619047619047616,0.03627330476402669,0.09523809523809523,0.47619047619047616,0.5238095238095238,0.032505910165484986,0.01780941780941781,0.04563127016687388,0.03303485607407175,0.033434270702072555,0.008550922243890367,0.027821852357456066,0.026454472981175765,0.04075813404373776,0.147429670464456,1,0,47,150,197,0,5.472222328186035,2.8331971168518066,47.0,43.0,32.833333333333336,5.472222222222222,5.472222222222222,5.472222222222222,36
ft10.pt,10,10,0,102,2,0.0,99.0,50.088235294117645,48.0,27.796565925991107,99.0,28.25,74.0,0.3196953473109738,-1.0,9.0,4.392156862745098,4.0,2.9444426309178833,10.0,2.0,7.0,0.3790849673202614,27.240196228027344,30.210798263549805,110,900,102,1010,0.08736167734420501,0.0,9.0,8.823529411764707,9.0,1.2478354962115543,9.0,9.0,9.0,0.019607843137254832,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.021355076684139003,2.0,10.0,2.156862745098039,2.0,1.1091871077436042,8.0,2.0,2.0,0.071301247771836,0.04229702970297031,0.07398019801980199,0.054970297029702984,0.05180198019801981,0.011511066692806306,0.031683168316831684,0.04546534653465347,0.06130693069306931,0.11527377521613791,0.108716754028344,10.0,11.0,10.980392156862745,11.0,0.1386483884679505,1.0,11.0,11.0,0.0017507002801120386,0.6545454545454545,0.7090909090909091,0.6599999999999998,0.6545454545454545,0.013726971700492276,0.054545454545454564,0.6545454545454545,0.6545454545454545,0.007239669421488015,0.0038074220513258095,0.05557889814085567,0.016014099197697775,0.013665337264846866,0.009712243658506719,0.05177147608952986,0.009398432860607125,0.019974950141656105,0.31757393318125615,1,0,655,4454,5109,0,51.09000015258789,27.146305084228516,655.0,631.0,510.9,51.09,51.09,51.09,100
ft20.pt,20,5,0,102,2,0.0,99.0,50.088235294117645,48.0,27.796565925991114,99.0,28.25,74.0,0.3196953473109738,-1.0,4.0,1.9411764705882353,2.0,1.460751414289347,5.0,1.0,3.0,0.41176470588235303,26.014705657958984,31.095439910888672,120,1900,102,2020,0.18443020772665503,0.0,19.0,18.627450980392158,19.0,2.63431938089106,19.0,19.0,19.0,0.019607843137254832,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.023296447291788,2.0,20.0,2.3529411764705883,2.0,2.4956709924231086,18.0,2.0,2.0,0.1470588235294119,0.016643564356435648,0.030900990099009904,0.023772277227722773,0.020207920792079212,0.005964309100044894,0.014257425742574256,0.020207920792079212,0.030900990099009904,0.13194502290712218,0.207726655018443,20.0,21.0,20.980392156862745,21.0,0.1386483884679505,1.0,21.0,21.0,0.0009162543522081013,0.8142857142857143,0.8714285714285714,0.8283809523809523,0.8142857142857143,0.02021337425731324,0.05714285714285716,0.8142857142857143,0.8428571428571429,0.011964819498735402,0.0035446724087340987,0.031689055246878775,0.01062991612911647,0.009888947706204139,0.005777013323900732,0.028144382838144678,0.006651436472496304,0.013243783485160154,0.2929267864245071,1,0,387,4722,5109,0,51.09000015258789,27.146305084228516,387.0,1119.0,1021.8,51.09,51.09,51.09,100
la01.pt,10,5,0,52,2,0.0,98.0,54.78846153846154,54.5,27.21802042938969,98.0,34.0,77.5,0.28530253530253535,-1.0,4.0,1.8846153846153846,2.0,1.5019710915205104,5.0,1.0,3.0,0.42307692307692313,28.336538314819336,32.72983932495117,60,450,52,510,0.16968325791855204,0.0,9.0,8.653846153846153,9.0,1.7307692307692304,9.0,9.0,9.0,0.03846153846153855,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.04524886877828054,2.0,10.0,2.3076923076923075,2.0,1.538461538461538,8.0,2.0,2.0,0.1282051282051282,0.03458823529411764,0.05968627450980391,0.04713725490196077,0.04086274509803921,0.010499263078074672,0.02509803921568627,0.04086274509803921,0.05968627450980391,0.11713810316139761,0.2149321266968326,10.0,11.0,10.961538461538462,11.0,0.1923076923076923,1.0,11.0,11.0,0.003373819163292824,0.6545454545454545,0.6909090909090909,0.6639999999999999,0.6545454545454545,0.014195797306140467,0.036363636363636376,0.6545454545454545,0.6727272727272727,0.01018619934282583,0.01217112150548683,0.026796480208244922,0.01901440285204991,0.019220779220779218,0.0032543505098758326,0.014625358702758093,0.017258903720978026,0.020962665874430575,0.09481713097401956,1,0,413,2436,2849,0,56.97999954223633,25.40825843811035,413.0,666.0,569.8,56.98,56.98,56.98,50
la02.pt,10,5,0,52,2,0.0,99.0,50.82692307692308,49.0,28.30922733087228,99.0,26.5,76.0,0.32001076864868017,-1.0,4.0,1.8846153846153846,2.0,1.5019710915205104,5.0,1.0,3.0,0.42307692307692313,26.355770111083984,31.633390426635742,60,450,52,510,0.16968325791855204,0.0,9.0,8.653846153846153,9.0,1.7307692307692304,9.0,9.0,9.0,0.03846153846153855,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.04524886877828054,2.0,10.0,2.3076923076923075,2.0,1.538461538461538,8.0,2.0,2.0,0.1282051282051282,0.03458823529411764,0.05968627450980391,0.04713725490196077,0.04086274509803921,0.010499263078074672,0.02509803921568627,0.04086274509803921,0.05968627450980391,0.11713810316139761,0.2149321266968326,10.0,11.0,10.961538461538462,11.0,0.1923076923076923,1.0,11.0,11.0,0.003373819163292824,0.6545454545454545,0.7272727272727273,0.6705454545454547,0.6545454545454545,0.02587701363586502,0.07272727272727275,0.6545454545454545,0.6909090909090909,0.01783080260303671,0.010361372831961068,0.03378898225957049,0.01958260306142659,0.019945279121749704,0.005110109065433247,0.023427609427609422,0.017018249724132073,0.0220300271623801,0.1429884806696482,1,0,394,2249,2643,0,52.86000061035156,26.944393157958984,394.0,635.0,528.6,52.86,52.86,52.86,50
