file,benchmark_family,size_family,jobs,machines,n,min,q25,median,q75,max,mean,std,cv,skewness,kurtosis_excess,unique_values,best_discrete,best_discrete_params,best_discrete_aic,best_discrete_gof_pvalue,best_continuous_exploratory,best_continuous_aic,uniform_1_99_pvalue_bins10,uniform_1_99_chi2_bins10
abz5,abz,10x10,10,10,100,50.0,66.0,79.0,92.0,99.0,77.73,14.417900630322663,0.18548695008777386,-0.14744888917584245,-1.1256989699828281,42,discrete_uniform_minmax,"{""low"": 50, ""high"": 99}",786.4046010856292,0.06282072061787963,uniform,782.3640596221253,2.098656549314854e-20,114.148
abz6,abz,10x10,10,10,100,20.0,39.5,61.0,80.25,98.0,59.46,23.269792270736588,0.39135203953475595,-0.12269010508037961,-1.2057919621459572,57,discrete_uniform_minmax,"{""low"": 20, ""high"": 98}",877.8895704934043,0.8650819231790224,uniform,875.3417653379184,0.003653238148849592,24.443
abz7,abz,20x15,20,15,300,11.0,18.0,24.0,31.0,40.0,24.553333333333335,8.153245176733535,0.33206265992669837,0.15170561912723537,-1.0213017985154675,30,discrete_uniform_minmax,"{""low"": 11, ""high"": 40}",2044.7184289972934,0.2896674903884789,uniform,2024.3774979918844,1.6137615313628928e-147,712.2419999999998
abz8,abz,20x15,20,15,300,11.0,17.75,25.0,33.0,40.0,25.286666666666665,8.846393870041165,0.3498442078845702,0.052823184199092516,-1.2278745586936337,30,discrete_uniform_minmax,"{""low"": 11, ""high"": 40}",2044.7184289972934,0.6717790228951865,uniform,2024.3774979918844,1.5166130876992013e-143,693.762
abz9,abz,20x15,20,15,300,11.0,17.0,25.0,32.25,40.0,24.80666666666667,8.809539270743095,0.3551278932038334,0.053712739735897186,-1.2412887208662047,30,discrete_uniform_minmax,"{""low"": 11, ""high"": 40}",2044.7184289972934,0.6924550289792661,uniform,2024.3774979918844,1.2664357225266478e-144,698.7779999999999
ft06,ft,6x6,6,6,36,1.0,3.0,5.0,8.0,10.0,5.472222222222222,2.8733863656579857,0.5250858333182106,0.16045890877066105,-1.1283751214939537,9,discrete_uniform_minmax,"{""low"": 1, ""high"": 10}",169.7861266955713,0.34156529600304,lognorm,92.15827893646622,1.2196379961839127e-63,320.40000000000003
ft10,ft,10x10,10,10,100,2.0,29.75,48.5,74.25,99.0,51.09,27.283063529515072,0.5340196423862805,-0.014889814975600333,-1.1657255592082507,59,discrete_uniform_1_99,"{""low"": 1, ""high"": 99, ""fixed_support"": true}",919.0239700269179,0.4035793829315888,uniform,918.9421957006766,0.4035793829315888,9.373000000000001
ft20,ft,20x5,20,5,100,2.0,29.75,48.5,74.25,99.0,51.09,27.283063529515076,0.5340196423862805,-0.014889814975600378,-1.1657255592082518,59,discrete_uniform_1_99,"{""low"": 1, ""high"": 99, ""fixed_support"": true}",919.0239700269179,0.4035793829315888,uniform,918.9421957006766,0.4035793829315888,9.373000000000001
la01,la,10x5,10,5,50,12.0,37.25,55.0,78.5,98.0,56.98,25.666216976359234,0.45044255837766295,-0.051678846737319185,-1.225764883970099,38,discrete_uniform_minmax,"{""low"": 12, ""high"": 98}",450.59081186545836,0.8720991789506132,uniform,449.43472962535077,0.3672513430949404,9.796000000000001
la02,la,10x5,10,5,50,12.0,27.25,50.0,76.0,99.0,52.86,27.217948759851055,0.5149063329521577,0.16553351177783682,-1.2858896296885742,39,discrete_uniform_minmax,"{""low"": 12, ""high"": 99}",451.7336814478207,0.6747735092598124,uniform,450.59081186545836,0.07823007397933579,15.494000000000002
la03,la,10x5,10,5,50,7.0,25.25,51.0,65.5,91.0,47.66,25.41139869573238,0.5331808370904823,0.06675989234811636,-1.1137172823419548,39,discrete_uniform_minmax,"{""low"": 7, ""high"": 91}",448.2651256490317,0.22959172033975708,uniform,447.0816798843314,0.24915673255374135,11.402000000000001
la04,la,10x5,10,5,50,5.0,15.25,53.5,77.0,98.0,50.14,32.333725364058616,0.6448688744327605,-0.06594834548975802,-1.5794483630623053,37,discrete_uniform_minmax,"{""low"": 5, ""high"": 98}",458.3294782270004,0.03801794280081313,uniform,457.2599493153257,0.08827901971383131,15.098
la05,la,10x5,10,5,50,5.0,25.5,42.5,63.75,97.0,45.66,25.393724116202332,0.5561481409593152,0.3715084449537322,-0.8034503979594767,40,discrete_uniform_minmax,"{""low"": 5, ""high"": 97}",457.2599493153256,0.7857521839515926,uniform,456.1788577049041,0.39349898620149737,9.488000000000001
la16,la,10x10,10,10,100,7.0,33.0,52.0,77.0,98.0,53.51,26.48708280569145,0.49499313783762755,0.04065280771463704,-1.1744756385302035,61,discrete_uniform_minmax,"{""low"": 7, ""high"": 98}",908.3577154098081,0.730228259442123,uniform,906.1719013033702,0.5090629013616099,8.251
la17,la,10x10,10,10,100,5.0,22.0,42.5,66.5,98.0,46.76,27.501375539519046,0.5881389123079351,0.18903534470789463,-1.1990489577609358,57,discrete_uniform_minmax,"{""low"": 5, ""high"": 98}",912.6589564540008,0.19976983513638702,uniform,910.5198986306514,0.7270423033444042,6.128
la18,la,10x10,10,10,100,5.0,28.75,52.5,73.0,97.0,51.86,25.81441927342629,0.497771293355694,-0.002909261896946287,-1.078015950575372,61,discrete_uniform_minmax,"{""low"": 5, ""high"": 97}",910.5198986306513,0.9406667026699812,uniform,908.357715409808,0.6042557713863822,7.316000000000001
la19,la,10x10,10,10,100,5.0,29.75,56.5,77.25,97.0,53.46,28.035482568136455,0.524419801124887,-0.2492342569688626,-1.2243311060511655,65,discrete_uniform_minmax,"{""low"": 5, ""high"": 97}",910.5198986306513,0.4987714062111551,uniform,908.357715409808,0.5690471485494502,7.657
la20,la,10x10,10,10,100,6.0,31.75,55.5,80.25,99.0,54.45,27.601923150682122,0.5069223719133539,-0.07679304016023182,-1.187419167441007,66,discrete_uniform_minmax,"{""low"": 6, ""high"": 99}",912.6589564540008,0.9753367284778477,uniform,910.5198986306514,0.5090629013616099,8.251
la06,la,15x5,15,5,75,7.0,34.0,52.0,77.0,98.0,53.22666666666667,26.5602697261893,0.49900306349303547,0.076110974627872,-1.1218127595248408,51,discrete_uniform_minmax,"{""low"": 7, ""high"": 98}",682.2682865573561,0.6884841269165619,uniform,680.6289259775276,0.5446600285317429,7.896000000000001
la07,la,15x5,15,5,75,8.0,32.0,52.0,64.0,97.0,49.93333333333333,22.20745755756771,0.4447421406722506,0.10677929392323851,-0.7647553636556097,53,discrete_uniform_minmax,"{""low"": 8, ""high"": 97}",678.9714505495398,0.18155663198089633,uniform,677.2954554598211,0.011436632192083712,21.286666666666665
la08,la,15x5,15,5,75,5.0,20.0,53.0,76.5,98.0,51.0,30.638696606248278,0.6007587569852604,-0.08237433808602887,-1.4398695693913033,50,discrete_uniform_minmax,"{""low"": 5, ""high"": 98}",685.4942173405005,0.19536552524453699,uniform,683.8899239729885,0.5701077833049102,7.6466666666666665
la09,la,15x5,15,5,75,7.0,40.5,61.0,78.5,99.0,56.84,26.35313202576816,0.463637087012107,-0.27809902260474634,-0.9502739344918583,49,discrete_uniform_minmax,"{""low"": 7, ""high"": 99}",683.8899239729884,0.8226926918396038,uniform,682.2682865573561,0.18948816831100354,12.442666666666666
la10,la,15x5,15,5,75,5.0,30.0,57.0,77.0,97.0,53.6,28.316741299765372,0.5282974123090555,-0.23200975248253947,-1.2122082562804486,58,discrete_uniform_minmax,"{""low"": 5, ""high"": 97}",683.8899239729884,0.9309025511673681,uniform,682.2682865573561,0.9557147240275056,3.2026666666666666
la21,la,15x10,15,10,150,7.0,28.75,50.0,77.0,99.0,53.29333333333334,26.643192128588773,0.4999348035136747,0.08209145972382037,-1.2142312933842694,74,discrete_uniform_minmax,"{""low"": 7, ""high"": 99}",1363.7798479459768,0.5351767013483877,uniform,1360.5365731147122,0.050671936230632,16.877333333333336
la22,la,15x10,15,10,150,5.0,24.0,48.5,72.75,98.0,48.81333333333333,27.960755495421086,0.5728097957270094,0.1061076586487387,-1.24247554192749,72,discrete_uniform_minmax,"{""low"": 5, ""high"": 98}",1366.988434681001,0.9728071805832968,uniform,1363.779847945977,0.756476201109072,5.833333333333333
la23,la,15x10,15,10,150,5.0,32.0,57.5,76.75,97.0,53.9,27.082709509249923,0.5024621430287556,-0.292749921026417,-1.0828555216918283,73,discrete_uniform_minmax,"{""low"": 5, ""high"": 97}",1363.7798479459768,0.40711055678518665,uniform,1360.5365731147122,0.4014339940036726,9.397333333333334
la24,la,15x10,15,10,150,5.0,28.25,50.5,72.0,99.0,51.513333333333335,27.182637734102354,0.5276815918358163,-0.007813754041474547,-1.106301519780331,77,discrete_uniform_minmax,"{""low"": 5, ""high"": 99}",1370.1630674801622,0.31096102597854003,uniform,1366.9884346810009,0.4257255905821858,9.126000000000001
