file,n_jobs,n_machines,seed,num_nodes,node_x_cols,node_x_col0_min,node_x_col0_max,node_x_col0_mean,node_x_col0_median,node_x_col0_std,node_x_col0_range,node_x_col0_q1,node_x_col0_q3,node_x_col0_gini,node_x_col1_min,node_x_col1_max,node_x_col1_mean,node_x_col1_median,node_x_col1_std,node_x_col1_range,node_x_col1_q1,node_x_col1_q3,node_x_col1_gini,node_x_overall_mean,node_x_overall_std,num_conjunctive_edges,num_disjunctive_edges,num_nodes_total,num_edges_total,disj_graph_density,deg_min,deg_max,deg_mean,deg_median,deg_std,deg_range,deg_q1,deg_q3,deg_gini,clustering_min,clustering_max,clustering_mean,clustering_median,clustering_std,clustering_range,clustering_q1,clustering_q3,clustering_gini,betweenness_min,betweenness_max,betweenness_mean,betweenness_median,betweenness_std,betweenness_range,betweenness_q1,betweenness_q3,betweenness_gini,speed,rddd,makespan_min,makespan_range,energy_sum_min,energy_sum_range,gen_features_raw,operation_cost_mean,operation_cost_std,makespan_lb_job_sum,makespan_lb_machine_sum,makespan_lb_meanload,energy_min_mean,energy_avg_mean,energy_max_mean,num_op_nodes
10-10-0.pt,10,10,0,102,2,0.0,98.0,50.69607843137255,51.0,27.043461467621174,98.0,26.25,71.0,0.30683752905532735,-1.0,9.0,4.392156862745098,4.0,2.9444426309178833,10.0,2.0,7.0,0.3790849673202614,27.544116973876953,30.100208282470703,110,900,102,1010,0.08736167734420501,0.0,9.0,8.823529411764707,9.0,1.2478354962115543,9.0,9.0,9.0,0.019607843137254832,0.0,1.0,0.9803921568627451,1.0,0.1386483884679505,1.0,1.0,1.0,0.019607843137254832,0.04229702970297031,0.44554455445544555,0.06262861580275676,0.05180198019801981,0.05533894512342877,0.4032475247524753,0.04546534653465347,0.06130693069306931,0.21713285438167795,1,0,619,4552,6122,0,{},52.238765716552734,26.293363571166992,619.0,690.0,517.1,61.22,61.22,61.22,100
10-11-0.pt,10,11,0,112,2,0.0,98.0,52.223214285714285,54.0,26.812413776560852,98.0,28.0,72.0,0.29560455999804613,-1.0,10.0,4.892857142857143,5.0,3.2330799746447627,11.0,2.0,8.0,0.375,28.558034896850586,30.40920639038086,120,990,112,1110,0.07963320463320463,0.0,9.0,8.839285714285714,9.0,1.1918890425689457,9.0,9.0,9.0,0.017857142857142794,0.0,1.0,0.9821428571428571,1.0,0.132432115840994,1.0,1.0,1.0,0.017857142857142794,0.04260442260442261,0.44594594594594594,0.06267696267696268,0.0543980343980344,0.052937381155492055,0.40334152334152334,0.04391482391482392,0.06357084357084358,0.2075322008586895,1,0,759,5090,6633,0,{},53.69327163696289,26.05493927001953,759.0,665.0,531.7272727272727,60.3,60.3,60.3,110
10-12-0.pt,10,12,0,122,2,0.0,98.0,52.36065573770492,53.5,26.4649677423343,98.0,30.25,72.0,0.2909348471006088,-1.0,11.0,5.39344262295082,5.0,3.5217296817935795,12.0,2.0,8.0,0.3715846994535521,28.87704849243164,30.131019592285156,130,1080,122,1210,0.07316081831730117,0.0,9.0,8.852459016393443,9.0,1.1428475447825168,9.0,9.0,9.0,0.016393442622950838,0.0,1.0,0.9836065573770492,1.0,0.12698306053139075,1.0,1.0,1.0,0.016393442622950838,0.04347107438016529,0.44628099173553715,0.06271959535744931,0.05669421487603306,0.05084118685518293,0.40280991735537186,0.045674931129476584,0.06550964187327823,0.199407909647201,1,0,809,5579,7226,0,{},53.74258804321289,25.750003814697266,809.0,631.0,532.3333333333334,60.21666666666667,60.21666666666667,60.21666666666667,120
10-13-0.pt,10,13,0,132,2,0.0,98.0,52.54545454545455,53.5,25.94351779737049,98.0,31.75,71.25,0.28403411275383594,-1.0,12.0,5.893939393939394,6.0,3.810387667698011,13.0,3.0,9.0,0.36868686868686873,29.219696044921875,29.79737663269043,140,1170,132,1310,0.06766134628730049,0.0,9.0,8.863636363636363,9.0,1.0993987838588932,9.0,9.0,9.0,0.015151515151515138,0.0,1.0,0.9848484848484849,1.0,0.1221554204287659,1.0,1.0,1.0,0.015151515151515138,0.043699354081033474,0.44656488549618323,0.06275734443673375,0.05215502055196712,0.04899138545510393,0.40286553141514975,0.04745742806811509,0.0671873165002936,0.19250144130350533,1,0,803,6133,7809,0,{},53.865318298339844,25.263883590698242,803.0,675.0,533.5384615384615,60.06923076923077,60.06923076923077,60.06923076923077,130
10-14-0.pt,10,14,0,142,2,0.0,99.0,53.32394366197183,56.5,26.29881090220745,99.0,31.25,72.0,0.2837920284517459,-1.0,13.0,6.394366197183099,6.0,4.099051327001478,14.0,3.0,10.0,0.3661971830985915,29.859155654907227,30.080078125,150,1260,142,1410,0.06293077614623914,0.0,9.0,8.873239436619718,9.0,1.0605549632122084,9.0,9.0,9.0,0.014084507042253502,0.0,1.0,0.9859154929577465,1.0,0.11783944035691205,1.0,1.0,1.0,0.014084507042253502,0.04433637284701115,0.44680851063829785,0.06279092997702528,0.05406281661600809,0.04734376760487424,0.4024721377912867,0.04595744680851064,0.06865248226950353,0.18651777031901884,1,0,953,6619,8357,0,{},54.59233474731445,25.665815353393555,953.0,699.0,540.8571428571429,59.69285714285714,59.69285714285714,59.69285714285714,140
10-15-0.pt,10,15,0,152,2,0.0,99.0,54.26315789473684,60.5,26.277050433817436,99.0,32.0,74.0,0.27858906784419823,-1.0,14.0,6.894736842105263,7.0,4.387718947508702,15.0,3.0,11.0,0.3640350877192984,30.578947067260742,30.262344360351562,160,1350,152,1510,0.05881840362495643,0.0,9.0,8.881578947368421,9.0,1.025556399218414,9.0,9.0,9.0,0.013157894736842035,0.0,1.0,0.9868421052631579,1.0,0.11395071102426826,1.0,1.0,1.0,0.013157894736842035,0.044512141280353204,0.4470198675496689,0.06282095968397816,0.05581456953642383,0.04586445936288087,0.4025077262693157,0.04733774834437085,0.06994260485651213,0.18131467006706692,1,0,1019,7229,8874,0,{},55.500606536865234,25.6740665435791,1019.0,717.0,549.8666666666667,59.16,59.16,59.16,150
10-16-0.pt,10,16,0,162,2,0.0,99.0,53.641975308641975,56.5,26.460456703119505,99.0,30.25,74.0,0.28403017516941564,-1.0,15.0,7.395061728395062,7.0,4.676389375231943,16.0,3.0,11.0,0.36213991769547316,30.518518447875977,29.928354263305664,170,1440,162,1610,0.05521048999309869,0.0,9.0,8.88888888888889,9.0,0.9938079899999065,9.0,9.0,9.0,0.012345679012345734,0.0,1.0,0.9876543209876543,1.0,0.11042310999998962,1.0,1.0,1.0,0.012345679012345734,0.04499999999999999,0.4472049689440994,0.06284794110881066,0.0574223602484472,0.0445270132109739,0.4022049689440994,0.04872670807453416,0.07108695652173913,0.1767257740903425,1,0,1001,7689,9535,0,{},54.82441329956055,25.91790771484375,1001.0,789.0,543.125,59.59375,59.59375,59.59375,160
10-17-0.pt,10,17,0,172,2,0.0,99.0,54.04651162790697,59.0,26.27533416544267,99.0,31.0,74.0,0.27983278629468034,-1.0,16.0,7.895348837209302,8.0,4.965061815506528,17.0,4.0,12.0,0.36046511627906974,30.970930099487305,29.832948684692383,180,1530,172,1710,0.052019583843329255,0.0,9.0,8.895348837209303,9.0,0.9648360478562324,9.0,9.0,9.0,0.011627906976744207,0.0,1.0,0.9883720930232558,1.0,0.10720400531735916,1.0,1.0,1.0,0.011627906976744207,0.045139318885448906,0.4473684210526316,0.06287229702162382,0.05394564843481251,0.043310440242004075,0.40222910216718266,0.04734090127278981,0.06495356037151702,0.17266667317667306,1,0,1126,8170,10090,0,{},55.191871643066406,25.745555877685547,1126.0,668.0,546.8235294117648,59.35294117647059,59.35294117647059,59.35294117647059,170
10-18-0.pt,10,18,0,182,2,0.0,99.0,53.6978021978022,56.5,26.027709148546165,99.0,31.0,73.75,0.2791189675974286,-1.0,17.0,8.395604395604396,8.0,5.253735710941333,18.0,4.0,13.0,0.35897435897435903,31.046703338623047,29.420978546142578,190,1620,182,1810,0.04917734199502155,0.0,9.0,8.901098901098901,9.0,0.9382582068631456,9.0,9.0,9.0,0.01098901098901095,0.0,1.0,0.989010989010989,1.0,0.10425091187368282,1.0,1.0,1.0,0.01098901098901095,0.04552486187845303,0.44751381215469616,0.06289438002145185,0.05534683855125844,0.04219784381072939,0.40198895027624315,0.048471454880294654,0.06615101289134438,0.16903657511161208,1,0,1214,8559,10719,0,{},54.80609130859375,25.526140213012695,1214.0,753.0,542.9444444444445,59.55,59.55,59.55,180
10-19-0.pt,10,19,0,192,2,0.0,99.0,52.828125,54.5,25.913651498474216,99.0,30.0,72.0,0.2825280776561834,-1.0,18.0,8.895833333333334,9.0,5.5424106643429285,19.0,4.0,14.0,0.35763888888888906,30.86197853088379,28.87264060974121,200,1710,192,1910,0.04662958115183246,0.0,9.0,8.90625,9.0,0.9137619698258403,9.0,9.0,9.0,0.01041666666666674,0.0,1.0,0.9895833333333334,1.0,0.1015291077584267,1.0,1.0,1.0,0.01041666666666674,0.0456379167814825,0.4476439790575916,0.06291448516579407,0.05666023697988426,0.041175448920558806,0.40200606227610913,0.04740148801322678,0.06724166437034995,0.16578232596053244,1,0,1227,8916,11417,0,{},53.88853454589844,25.467735290527344,1227.0,657.0,533.8421052631579,60.089473684210525,60.089473684210525,60.089473684210525,190
